web-scraper-order,web-scraper-start-url,filmstars,filmstars-href,Name,Personality,Image-src,pages,pages-href
"1587938335-4249","https://www.imdb.com/list/ls068010962/","Nassar","https://www.imdb.com/name/nm0621937?ref_=nmls_hd","Nassar","Nassar is one of the most acclaimed actors in India. He is the current president of South Indian Actors Association. Nassar is well known for Thevar Magan (1992), Bombay (1995), Anbe Sivam (2003) and Nayakan (1987). Nassar was born on 5 March 1958 to Mehaboob Basha and Mumtaz in Chengalpattu, Tamil Nadu. He studied in St. Joseph's Higher Secondary ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjA3Njc5NjcwOF5BMl5BanBnXkFtZTcwMTgyOTY0OA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","",""
"1587938596-4291","https://www.imdb.com/list/ls068010962/","Inaamulhaq","https://www.imdb.com/name/nm4189429?ref_=nmls_hd","Inaamulhaq","An alumnus of National School of Drama, Inaamulhaq was born on Nov 14, 1979 in Saharanpur-Uttar Pradesh. He first appeared on stage at the age of twelve. Later, he joined the 'Indian People's Theatre Association' and acted in numerous plays as a lead. In Mumbai he started his career as a writer for TV shows. After working as a 'Creative Consultant'...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BNTlkNmU1N2YtZGI2OC00YjkwLWIxM2MtNTZkMmJkYTQ4YWE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY317_CR15,0,214,317_AL__QL50.jpg","",""
"1587937564-4147","https://www.imdb.com/list/ls068010962/","Vyjayanthimala","https://www.imdb.com/name/nm0904537?ref_=nmls_hd","Vyjayanthimala","Vyjayanthimala was born to actress and dancer Vasundhara Devi in a Tamil-speaking family in Chennai, India, on August 13, 1936. At the age of 4, she got the rare chance of performing a dance before the Pope. Then at the age of 15, while in her final year at school, she was signed-up by family friend, M.V. Raman, for a role in a Tamil film 'Vazhkai'...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BYWVjYzI1YzctOGJkYS00ZGM5LTg3OGItYmI5ZTIyMGI2ZGI3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR20,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938912-4338","https://www.imdb.com/list/ls068010962/","Aamir Khan","https://www.imdb.com/name/nm0451148?ref_=nmls_hd","Aamir Khan","Aamir is no doubt one of the most dedicated actors in this world. With his recent success in India and China markets combined he has got the title of World's Biggest Superstar. He went through rapid transformations in his body structure for his films to bring out the reality factor in his characters. This is also one of the reasons why his films ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjAwMjk3NDUzN15BMl5BanBnXkFtZTcwNjI4MTY0NA@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","",""
"1587938279-4239","https://www.imdb.com/list/ls068010962/","Navin Nischol","https://www.imdb.com/name/nm0632615?ref_=nmls_hd","Navin Nischol","Navin Nischol was born on March 18, 1946 in Lahore, Punjab, British India. He was an actor, known for Zorro (1975), Khosla's Nest (2006) and Dhund (1973). He was married to Geetanjali Nischol. He died on March 19, 2011 in Mumbai, Maharashtra, India.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BNzY5NWIxMDItMzZkNi00YzNiLTkyMWQtZDJlNzEwODA2MDNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR7,0,214,317_AL__QL50.jpg","",""
"1587938405-4261","https://www.imdb.com/list/ls068010962/","Manoj Bajpayee","https://www.imdb.com/name/nm0048075?ref_=nmls_hd","Manoj Bajpayee","Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India. He is known for his work on Gangs of Wasseypur (2012), Satya (1998) and Reflection (2001). He has been married to Neha since February 23, 2005.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR11,0,214,317_AL__QL50.jpg","",""
"1587938496-4275","https://www.imdb.com/list/ls068010962/","Kapil Sharma","https://www.imdb.com/name/nm6151574?ref_=nmls_hd","Kapil Sharma","Kapil Sharma is an Indian stand-up comedian, TV anchor and singer.He was selected among top 100 celebrities in 2013 Forbes India magazines and he was ranked 96th in that list. Currently he hosts The Kapil Sharma Show.[2] He also hosted television comedy shows like Comedy Nights with Kapil, The Kapil Sharma Show, Family Time with Kapil, Chhote ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg","",""
"1587937691-4169","https://www.imdb.com/list/ls068010962/","Saurabh Shukla","https://www.imdb.com/name/nm0795661?ref_=nmls_hd","Saurabh Shukla","Shukla's family left Gorakhpur for Delhi when he was two years old. After completing his schooling, he graduated from Khalsa College, Delhi. His professional career began in 1984 with his entry into theater. Shukla began serious theater in 1986 with roles in plays like A View From The Bridge (Arthur Miller), Look Back In Anger (John Osborne), ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_UY317_CR28,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938780-4323","https://www.imdb.com/list/ls068010962/","Ashish Vidyarthi","https://www.imdb.com/name/nm0896573?ref_=nmls_hd","Ashish Vidyarthi","Ashish Vidyarthi was born on June 19, 1962 in Tellicherry, Kerala, India. He is an actor, known for 24: India (2013), Haider (2014) and Pokiri (2006).            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMzk5Mzc5Y2YtYjJjYy00OGIyLTg4MzctZTMxNDBiYzY2MTcxXkEyXkFqcGdeQXVyNjc0MTQwOTc@._V1_UY317_CR175,0,214,317_AL__QL50.jpg","",""
"1587938329-4248","https://www.imdb.com/list/ls068010962/","Naseeruddin Shah","https://www.imdb.com/name/nm0787462?ref_=nmls_hd","Naseeruddin Shah","Naseeruddin Shah was born on July 20, 1950 in Barabanki, Uttar Pradesh, India. He is an actor, known for The League of Extraordinary Gentlemen (2003), A Wednesday (2008) and Jaane Bhi Do Yaaro (1983). He has been married to Ratna Pathak Shah since April 1, 1982. They have three children.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMTQ4MDcyOTExOV5BMl5BanBnXkFtZTgwOTQyMDU0OTE@._V1_UY317_CR18,0,214,317_AL__QL50.jpg","",""
"1587938721-4313","https://www.imdb.com/list/ls068010962/","Chiranjeevi","https://www.imdb.com/name/nm0158112?ref_=nmls_hd","Chiranjeevi","This Telugu Star was a student at the Madras Film Institute and an amateur stage actor. His first public performance was in the Republic Day parade ballet of Andra Pradesh on 26 January, 1976. His film debut was Punadhirallu (1978). His brother-in-law is producer Allu Aravind. His success started with Initilo Ramayya Vidhilo Krishnayya (1981). He ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BOGQ4MTc3MWYtNmUxNi00Nzk3LWFjMDItM2Y1NmVmMDEyNWIxXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg","",""
"1587938052-4209","https://www.imdb.com/list/ls068010962/","Rani Mukerji","https://www.imdb.com/name/nm0611552?ref_=nmls_hd","Rani Mukerji","Mukerji comes from a film-oriented family of Bengali origin. Her father, Ram Mukherjee, is a retired director and one of the founders of ""Filmalaya Studios"". Her mother, Krishna Mukherjee, was a playback singer. Her brother, Raj Mukherjee is a film producer, now turned director. Her maternal aunt, Debashree Roy, was a Bengali-film actress and her ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjI4MjI2MTEwOV5BMl5BanBnXkFtZTgwMzkxMDU0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938324-4247","https://www.imdb.com/list/ls068010962/","Nandita Das","https://www.imdb.com/name/nm0201903?ref_=nmls_hd","Nandita Das","Nandita Das was born on November 7, 1969 in Delhi, India. She is known for her work on Firaaq (2008), Bawandar (2000) and Kannathil Muthamittal (2002). She has been married to Subodh Maskara since January 5, 2010. They have one child. She was previously married to Saumya Sen.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMTA2NzUwMTAxMDBeQTJeQWpwZ15BbWU4MDQ0MTEyNTEx._V1_UY317_CR0,0,214,317_AL__QL50.jpg","",""
"1587938302-4242","https://www.imdb.com/list/ls068010962/","Nirupa Roy","https://www.imdb.com/name/nm0747131?ref_=nmls_hd","Nirupa Roy","Kokila was born on January 4, 1931 in Valsad, Gujarat, India, in the Gujarati-speaking Balsara family. She was married to Kamal Roy at a very young age, and shortly thereafter in 1946 both husband and wife decided to make a career on the silver screen. They traveled to Bombay, both applied, but only Kokila was chosen to act in a Gujarati movie, ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BNGYxMTdjY2MtMDkzYS00ZGJlLTljZTgtYjlhZGVhYTNhMTE3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR9,0,214,317_AL__QL50.jpg","",""
"1587938098-4214","https://www.imdb.com/list/ls068010962/","Rajkummar Rao","https://www.imdb.com/name/nm3822770?ref_=nmls_hd","Rajkummar Rao","Raj Kumar is also known as Rajkummar Rao. He was born in Gurgaon. He finished his schooling in Gurgaon and graduated in Arts from Delhi University. He was simultaneously doing theatre with Kshitij Repertory and SRC in Delhi. He is an Acting graduate from Pune's Film and Television Institute of India. Raj Kumar's debut film was Dibakar Banerjee's ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMzAxNWIzOWItMDM1NC00NGMyLWIwMDEtNWZjODEyOTFiZjQ4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938133-4221","https://www.imdb.com/list/ls068010962/","Rahul Bose","https://www.imdb.com/name/nm0097893?ref_=nmls_hd","Rahul Bose","Rahul Bose was born on July 27, 1967 in India. He is an actor and writer, known for Everybody Says I'm Fine! (2001), Split Wide Open (1999) and Poorna (2017).            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjE2MjY2ODY4N15BMl5BanBnXkFtZTgwNDcwMTE0OTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938207-4232","https://www.imdb.com/list/ls068010962/","Priyanka Chopra","https://www.imdb.com/name/nm1231899?ref_=nmls_hd","Priyanka Chopra","Priyanka Chopra Jonas (née Chopra) was born on July 18, 1982 in Jamshedpur, India, to the family of Capt. Dr. Ashok Chopra and Dr. Madhu Chopra, both Indian Army physicians. She had a very varied upbringing. She started her education at La Martinière Girls College in Lucknow as a resident student; a short stay at Maria Goretti College in Bareilly ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjAxNzUwNjExOV5BMl5BanBnXkFtZTcwNDUyMTUxNw@@._V1_UY317_CR105,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938600-4292","https://www.imdb.com/list/ls068010962/","Huma Qureshi","https://www.imdb.com/name/nm4806622?ref_=nmls_hd","Huma Qureshi","Huma Qureshi born and raised in Delhi. Her father is a famous restaurant owner called Saleem's a chain of some 10 restaurants in Delhi. Her brother, Saqib Saleem is an actor and acted in Mujhse Fraaandship Karoge. In year 2011 an announcement was made that Huma would make her Bollywood debut in a movie too called Billa 2 but got delayed due to ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMTEwMTkyMDY3OTheQTJeQWpwZ15BbWU4MDE1MjEyMzkx._V1_UX214_CR0,0,214,317_AL__QL50.jpg","",""
"1587937923-4194","https://www.imdb.com/list/ls068010962/","Randeep Hooda","https://www.imdb.com/name/nm0393535?ref_=nmls_hd","Randeep Hooda","Randeep Hooda was born in a small village called Daseya in the Rohtak district of Haryana. His mother, Asha Hooda, is a BJP politician and his father is a surgeon by profession. He did schooling from Delhi Public School before moving to Australia for higher studies. He is Bachelors in Marketing & Human Resource Management. He made his film debut in...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMjk4NjkxNTkxMl5BMl5BanBnXkFtZTgwMzUwNDA3NDE@._V1_UY317_CR51,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938402-4260","https://www.imdb.com/list/ls068010962/","Manoj Joshi","https://www.imdb.com/name/nm1259084?ref_=nmls_hd","Manoj Joshi","Manoj Joshi is an India film and television actor. Joshi began his career in Marathi theatre, also putting up performances in Gujarati and Hindi theatre. He has also acted in over 60 films since 1998, many of his roles being comedic. His earliest well known serials include Chanakya, Ek Mahal Ho Sapno Ka, Rau (Marathi), Sangdil, Kabhi Souten Kabhi ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMDdmMDUzMGUtNjBiYy00ZDdiLTlhZWItYmE3MjNjNGViM2U0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg","",""
"1587938059-4210","https://www.imdb.com/list/ls068010962/","Rajinikanth","https://www.imdb.com/name/nm0707425?ref_=nmls_hd","Rajinikanth","Rajinikanth has been a megastar in the Tamil movie industry since the 70s. He is one of the highest earning actors in Asia. Primarily starring in Tamil movies, he has also worked in Hindi, Telugu, Kannada, and American movies. He was born in Bangalore (India), and was employed as a bus conductor before he joined the Madras Film Institute. He made ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BMTA3MDcyNzkxMjZeQTJeQWpwZ15BbWU3MDUxMTU4Njg@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587937842-4187","https://www.imdb.com/list/ls068010962/","Sharman Joshi","https://www.imdb.com/name/nm0430817?ref_=nmls_hd","Sharman Joshi","Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India. He is an actor, known for 3 Idiots (2009), Rang De Basanti (2006) and Hotchpotch: Fun Unlimited (2006). He has been married to Prerna Chopra since 2000. They have three children.            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg","Next","https://www.imdb.com/list/ls068010962/?page=2"
"1587938421-4263","https://www.imdb.com/list/ls068010962/","Mohanlal","https://www.imdb.com/name/nm0482320?ref_=nmls_hd","Mohanlal","Mohanlal was born to Viswanathan Nair (father) and Santhakumari (mother) in Pathanamthitta district of Kerala, in the southern part of India on 21st May 1960. Starting his career with a classic villain role, he has now become an outstanding actor of Malayalam Cinema in Kerala. Without no doubt, Mohanlal is today's one of the best actors India has ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BYjFjZGRjMWYtZTA5MS00OTZkLWI1MjctNDQ2NmQzMWM1NzRhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg","",""
"1587938649-4304","https://www.imdb.com/list/ls068010962/","Deepti Naval","https://www.imdb.com/name/nm0622732?ref_=nmls_hd","Deepti Naval","Deepti Naval is an Indian film actor, director, writer, painter and photographer. A multi-faceted personality, her major contribution has been in the area of art cinema, winning critical acclaim for her sensitive and close to life characters that emphasized the changing role of women in India. The first American-Indian actor to join Hindi films, ...            
                    See full bio »","https://m.media-amazon.com/images/M/MV5BYjhjNWM1MmUtM2M3My00MWZmLWE5NDYtNTI5YTM3MWQwNGVhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX214_CR0,0,214,317_AL__QL50.jpg","",""
